
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   335  -1.57130E-04  8.28163E-05 -6.89299E-03 
   336   1.33676E-04 -7.91705E-05 -6.89513E-03 
   337  -1.56661E-04  8.88356E-05 -6.83458E-03 
   338   1.33294E-04 -8.49609E-05 -6.83979E-03 
   339  -1.48949E-04  0.00000E+00 -7.30329E-03 
   340   1.25872E-04  0.00000E+00 -7.30625E-03 
   341  -1.48926E-04  8.13521E-06 -7.30157E-03 
   342   1.25854E-04 -7.76601E-06 -7.30267E-03 
   343  -1.48857E-04  1.62453E-05 -7.29294E-03 
   344   1.25797E-04 -1.55326E-05 -7.29536E-03 
   345  -1.48743E-04  2.42958E-05 -7.28000E-03 
   346   1.25705E-04 -2.32112E-05 -7.28156E-03 
   347  -1.48585E-04  3.22665E-05 -7.26122E-03 
   348   1.25576E-04 -3.08288E-05 -7.26341E-03 
   349  -1.48382E-04  4.01401E-05 -7.23771E-03 
   350   1.25412E-04 -3.83544E-05 -7.23929E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   351  -1.48137E-04  4.78813E-05 -7.20859E-03 
   352   1.25212E-04 -4.57531E-05 -7.21079E-03 
   353  -1.47850E-04  5.54566E-05 -7.17493E-03 
   354   1.24979E-04 -5.29939E-05 -7.17649E-03 
   355  -1.47523E-04  6.28269E-05 -7.13586E-03 
   356   1.24711E-04 -6.00407E-05 -7.13802E-03 
   357  -1.47158E-04  6.99472E-05 -7.09250E-03 
   358   1.24413E-04 -6.68492E-05 -7.09401E-03 
   359  -1.46756E-04  7.67747E-05 -7.04402E-03 
   360   1.24083E-04 -7.33691E-05 -7.04617E-03 
   361  -1.46321E-04  8.32569E-05 -6.99196E-03 
   362   1.23725E-04 -7.95586E-05 -6.99287E-03 
   363  -1.45854E-04  8.93088E-05 -6.93581E-03 
   364   1.23339E-04 -8.53818E-05 -6.93571E-03 
   365  -1.37900E-04  0.00000E+00 -7.39507E-03 
   366   1.15721E-04  0.00000E+00 -7.39958E-03 
   367  -1.37877E-04  8.18050E-06 -7.39414E-03 
   368   1.15702E-04 -7.81399E-06 -7.39565E-03 
   369  -1.37810E-04  1.63321E-05 -7.38443E-03 
   370   1.15647E-04 -1.56172E-05 -7.38878E-03 
   371  -1.37700E-04  2.44258E-05 -7.37241E-03 
   372   1.15557E-04 -2.33353E-05 -7.37446E-03 
   373  -1.37546E-04  3.24397E-05 -7.35260E-03 
   374   1.15431E-04 -3.09961E-05 -7.35661E-03 
   375  -1.37348E-04  4.03548E-05 -7.32991E-03 
   376   1.15269E-04 -3.85617E-05 -7.33194E-03 
   377  -1.37109E-04  4.81367E-05 -7.29970E-03 
   378   1.15073E-04 -4.59995E-05 -7.30370E-03 
   379  -1.36829E-04  5.57515E-05 -7.26679E-03 
   380   1.14843E-04 -5.32782E-05 -7.26880E-03 
