
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   363  -1.37014E-04  8.30925E-05 -6.61077E-03 
   364   1.14912E-04 -7.94372E-05 -6.61064E-03 
   365  -1.29082E-04  0.00000E+00 -7.03723E-03 
   366   1.07339E-04  0.00000E+00 -7.04182E-03 
   367  -1.29061E-04  7.57871E-06 -7.03654E-03 
   368   1.07323E-04 -7.23874E-06 -7.03805E-03 
   369  -1.29002E-04  1.51322E-05 -7.02738E-03 
   370   1.07275E-04 -1.44704E-05 -7.03180E-03 
   371  -1.28904E-04  2.26332E-05 -7.01639E-03 
   372   1.07195E-04 -2.16226E-05 -7.01844E-03 
   373  -1.28767E-04  3.00636E-05 -6.99791E-03 
   374   1.07084E-04 -2.87250E-05 -7.00199E-03 
   375  -1.28592E-04  3.74080E-05 -6.97701E-03 
   376   1.06942E-04 -3.57448E-05 -6.97904E-03 
   377  -1.28380E-04  4.46352E-05 -6.94889E-03 
   378   1.06770E-04 -4.26523E-05 -6.95295E-03 
   379  -1.28132E-04  5.17150E-05 -6.91850E-03 
   380   1.06568E-04 -4.94191E-05 -6.92051E-03 
   381  -1.27849E-04  5.86119E-05 -6.88109E-03 
   382   1.06338E-04 -5.60135E-05 -6.88510E-03 
   383  -1.27534E-04  6.52841E-05 -6.84159E-03 
   384   1.06080E-04 -6.23946E-05 -6.84360E-03 
   385  -1.27187E-04  7.16901E-05 -6.79527E-03 
   386   1.05795E-04 -6.85162E-05 -6.79950E-03 
   387  -1.26809E-04  7.77961E-05 -6.74737E-03 
   388   1.05486E-04 -7.43763E-05 -6.74957E-03 
   389  -1.26404E-04  8.35036E-05 -6.69228E-03 
   390   1.05152E-04 -7.98694E-05 -6.69771E-03 
   391  -1.18340E-04  0.00000E+00 -7.11741E-03 
   392   9.74781E-05  0.00000E+00 -7.12043E-03 
   393  -1.18320E-04  7.61577E-06 -7.11592E-03 
   394   9.74633E-05 -7.27022E-06 -7.11697E-03 
   395  -1.18263E-04  1.52079E-05 -7.10774E-03 
   396   9.74156E-05 -1.45430E-05 -7.11022E-03 
